game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0110,1,11:02,DAL,,UTA,,K. George,UTA,MISS George 27' 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,118,243,27,1,3.0,0.0,v
S2425-G0110,1,10:21,DAL,,UTA,,K. George,UTA,George REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,08:17,DAL,,UTA,,K. George,UTA,George REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2425-G0110,1,08:11,DAL,,UTA,,K. George,UTA,MISS George 1' Driving Layup,Missed Shot,Driving Layup Shot,13,7,1,1,2.0,0.0,v
S2425-G0110,1,05:43,DAL,13.0,UTA,12.0,K. George,UTA,George 2' Running Finger Roll Layup (2 PTS) (Clarkson 2 AST),Made Shot,Running Finger Roll Layup Shot,-6,22,2,1,2.0,2.0,v
S2425-G0110,1,04:52,DAL,,UTA,,K. George,UTA,MISS George 4' Driving Layup,Missed Shot,Driving Layup Shot,-29,31,4,1,2.0,0.0,v
S2425-G0110,1,03:20,DAL,,UTA,,K. George,UTA,MISS George 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-61,269,28,1,3.0,0.0,v
S2425-G0110,1,03:18,DAL,,UTA,,K. George,UTA,SUB: Collins FOR George,Substitution,,0,0,0,0,,,v
S2425-G0110,2,06:38,DAL,,UTA,,K. George,UTA,George Bad Pass Turnover (P1.T4),Turnover,Bad Pass,0,0,0,0,,,v
S2425-G0110,2,05:36,DAL,,UTA,,K. George,UTA,MISS George 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-125,233,26,1,3.0,0.0,v
S2425-G0110,2,05:19,DAL,,UTA,,K. George,UTA,MISS George 3PT Jump Shot,Missed Shot,Jump Shot,232,-14,0,1,3.0,0.0,v
S2425-G0110,2,04:44,DAL,,UTA,,K. George,UTA,MISS George 1' Running Reverse Layup,Missed Shot,Running Reverse Layup Shot,4,12,1,1,2.0,0.0,v
S2425-G0110,2,02:31,DAL,,UTA,,K. George,UTA,George STEAL (1 STL),,,0,0,0,0,,,v
S2425-G0110,2,02:25,DAL,43.0,UTA,37.0,K. George,UTA,George 5' Running Layup (4 PTS),Made Shot,Running Layup Shot,45,11,5,1,2.0,2.0,v
S2425-G0110,2,00:33.300000,DAL,,UTA,,K. George,UTA,George S.FOUL (P1.T3) (K.Lane),Foul,Shooting,0,0,0,0,,,v
S2425-G0110,3,11:22,DAL,52.0,UTA,45.0,K. George,UTA,George 3' Driving Finger Roll Layup (6 PTS),Made Shot,Driving Finger Roll Layup Shot,11,31,3,1,2.0,2.0,v
S2425-G0110,3,08:25,DAL,,UTA,,K. George,UTA,MISS George 4' Driving Layup,Missed Shot,Driving Layup Shot,32,21,4,1,2.0,0.0,v
