game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2425-G0074,1,11:29,DAL,,SAS,,K. Irving,DAL,MISS Irving 24' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,-210,117,24,1,3.0,0.0,h
S2425-G0074,1,11:00,DAL,,SAS,,K. Irving,DAL,Irving P.FOUL (P1.T1) (R.Mott),Foul,Personal,0,0,0,0,,,h
S2425-G0074,1,10:12,DAL,,SAS,,K. Irving,DAL,Irving BLOCK (1 BLK),,,0,0,0,0,,,h
S2425-G0074,1,10:01,DAL,,SAS,,K. Irving,DAL,MISS Irving 22' Jump Shot,Missed Shot,Jump Shot,134,169,22,1,2.0,0.0,h
S2425-G0074,1,08:52,DAL,,SAS,,K. Irving,DAL,MISS Irving 20' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-199,34,20,1,2.0,0.0,h
S2425-G0074,1,08:05,DAL,7.0,SAS,8.0,K. Irving,DAL,Irving 25' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,17,245,25,1,3.0,3.0,h
S2425-G0074,1,07:16,DAL,,SAS,,K. Irving,DAL,SUB: Grimes FOR Irving,Substitution,,0,0,0,0,,,h
S2425-G0074,1,03:54,DAL,18.0,SAS,20.0,K. Irving,DAL,Irving 12' Pullup Jump Shot (5 PTS),Made Shot,Pullup Jump shot,-119,13,12,1,2.0,2.0,h
S2425-G0074,1,01:31,DAL,,SAS,,K. Irving,DAL,Irving REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,1,00:48.900000,DAL,,SAS,,K. Irving,DAL,MISS Irving 11' Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,96,52,11,1,2.0,0.0,h
S2425-G0074,2,03:10,DAL,,SAS,,K. Irving,DAL,MISS Irving 7' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,65,14,7,1,2.0,0.0,h
S2425-G0074,2,01:30,DAL,44.0,SAS,47.0,K. Irving,DAL,Irving 16' Pullup Jump Shot (7 PTS),Made Shot,Pullup Jump shot,100,126,16,1,2.0,2.0,h
S2425-G0074,3,11:26,DAL,,SAS,,K. Irving,DAL,MISS Irving 27' 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,107,244,27,1,3.0,0.0,h
S2425-G0074,3,11:10,DAL,,SAS,,K. Irving,DAL,Irving REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,3,10:31,DAL,53.0,SAS,51.0,K. Irving,DAL,Irving 26' 3PT Step Back Jump Shot (10 PTS) (Gafford 1 AST),Made Shot,Step Back Jump shot,-126,227,26,1,3.0,3.0,h
S2425-G0074,3,09:29,DAL,,SAS,,K. Irving,DAL,MISS Irving 28' 3PT Jump Shot,Missed Shot,Jump Shot,-92,269,28,1,3.0,0.0,h
S2425-G0074,3,09:10,DAL,,SAS,,K. Irving,DAL,MISS Irving 6' Driving Floating Bank Jump Shot,Missed Shot,Driving Floating Bank Jump Shot,48,29,6,1,2.0,0.0,h
S2425-G0074,3,08:21,DAL,,SAS,,K. Irving,DAL,Irving STEAL (1 STL),,,0,0,0,0,,,h
S2425-G0074,3,08:10,DAL,,SAS,,K. Irving,DAL,Irving STEAL (2 STL),,,0,0,0,0,,,h
S2425-G0074,3,07:36,DAL,66.0,SAS,55.0,K. Irving,DAL,Irving 26' 3PT Jump Shot (13 PTS) (Thompson 1 AST),Made Shot,Jump Shot,116,233,26,1,3.0,3.0,h
S2425-G0074,3,05:42,DAL,,SAS,,K. Irving,DAL,Irving REBOUND (Off:1 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0074,3,05:35,DAL,,SAS,,K. Irving,DAL,MISS Irving 4' Driving Layup,Missed Shot,Driving Layup Shot,-11,37,4,1,2.0,0.0,h
S2425-G0074,3,04:54,DAL,,SAS,,K. Irving,DAL,SUB: Marshall FOR Irving,Substitution,,0,0,0,0,,,h
S2425-G0074,3,01:35,DAL,,SAS,,K. Irving,DAL,MISS Irving 19' Pullup Jump Shot,Missed Shot,Pullup Jump shot,-4,194,19,1,2.0,0.0,h
S2425-G0074,3,00:51.700000,DAL,87.0,SAS,79.0,K. Irving,DAL,Irving 1' Running Layup (15 PTS) (Marshall 2 AST),Made Shot,Running Layup Shot,9,8,1,1,2.0,2.0,h
S2425-G0074,3,00:00,DAL,,SAS,,K. Irving,DAL,MISS Irving 24' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-230,57,24,1,3.0,0.0,h
S2425-G0110,1,06:18,DAL,,UTA,,K. Irving,DAL,SUB: Lively II FOR Irving,Substitution,,0,0,0,0,,,h
S2425-G0110,1,02:15,DAL,,UTA,,K. Irving,DAL,Irving REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2425-G0110,1,02:12,DAL,,UTA,,K. Irving,DAL,Irving Bad Pass Turnover (P1.T2),Turnover,Bad Pass,0,0,0,0,,,h
S2425-G0110,1,00:59.200000,DAL,,UTA,,K. Irving,DAL,MISS Irving 20' Jump Shot,Missed Shot,Jump Shot,-175,93,20,1,2.0,0.0,h
S2425-G0110,1,00:36.900000,DAL,24.0,UTA,19.0,K. Irving,DAL,Irving 24' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,137,200,24,1,3.0,3.0,h
S2425-G0110,1,00:01.200000,DAL,27.0,UTA,19.0,K. Irving,DAL,Irving 24' 3PT Jump Shot (6 PTS),Made Shot,Jump Shot,230,50,24,1,3.0,3.0,h
S2425-G0110,2,11:16,DAL,30.0,UTA,20.0,K. Irving,DAL,Irving Free Throw 1 of 2 (7 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2425-G0110,2,11:16,DAL,31.0,UTA,20.0,K. Irving,DAL,Irving Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2425-G0110,2,09:40,DAL,,UTA,,K. Irving,DAL,SUB: Thompson FOR Irving,Substitution,,0,0,0,0,,,h
S2425-G0110,2,05:17,DAL,,UTA,,K. Irving,DAL,Irving REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2425-G0110,2,04:04,DAL,,UTA,,K. Irving,DAL,Irving OFF.Foul (P1) (K.Lane),Foul,Offensive,0,0,0,0,,,h
S2425-G0110,2,04:04,DAL,,UTA,,K. Irving,DAL,Irving Offensive Foul Turnover (P2.T5),Turnover,Offensive Foul Turnover,0,0,0,0,,,h
S2425-G0110,2,03:01,DAL,,UTA,,K. Irving,DAL,Irving S.FOUL (P2.PN) (M.Davis),Foul,Shooting,0,0,0,0,,,h
S2425-G0110,2,02:16,DAL,45.0,UTA,37.0,K. Irving,DAL,Irving 7' Turnaround Jump Shot (10 PTS),Made Shot,Turnaround Jump Shot,-1,68,7,1,2.0,2.0,h
